"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Opšti izgled i dizajn veb-sajta je atraktivan.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Uvek znam gde mogu da pronađem informaciju koju tražim.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Bilo mi je lako da naučim kako da se krećem kroz veb-sajt.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Informacije koje se nude na veb-sajtu su korisne, potpune i jasne.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Opis ponuđen na stranicama predmeta mi je veoma koristan prilikom odabira izbornih predmeta.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [U odeljku Aktuelnosti i vesti pronalazim korisne informacije.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Informacije koje se nude na veb-sajtu se redovno ažuriraju.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Lako i brzo mogu da rezervišem termin za eksperimente.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Zadovoljan sam brzinom učitavanja stranica veb-sajta.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Bilo mi je lako da naučim kako da se krećem kroz veb-sajt.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Opšti izgled i dizajn veb-sajta je atraktivan.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Informacije koje se nude na veb-sajtu su korisne, potpune i jasne.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [U odeljku Aktuelnosti i vesti pronalazim korisne informacije.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Uvek znam gde mogu da pronađem informaciju koju tražim.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Opis ponuđen na stranicama predmeta mi je veoma koristan prilikom odabira izbornih predmeta.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Lako i brzo mogu da rezervišem termin za eksperimente.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Informacije koje se nude na veb-sajtu se redovno ažuriraju.]","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa sledećim tvrdnjama. [Zadovoljan sam brzinom učitavanja stranica veb-sajta.]","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: MatrixVSsingle","Vreme pitanja: MatrixVSsingleDruga","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"4","2019-07-29 00:40:44","1","sr-Latn","2019-07-29 00:31:38","2019-07-29 00:40:44","95.85.172.200","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","82","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","/","/","Češće ažurirati sekciju ""Aktuelnost i vesti"". Dosta često se tamo nalaze i zastarele informacije. Rezultate ispita za nepsihologe stavljati u ""Rezultate ispita"". Ovako pomenuta sekcija deluje pomalo zatrpano.","545.04","","","","","","","","","","","","","","","","","",""
"5","2019-07-29 01:01:35","1","sr-Latn","2019-07-29 00:57:34","2019-07-29 01:01:35","212.200.65.186","Muški","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","51","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","","","","/","/","Rezulati ispita su javni i svima dostupni. Mislim da je to OGROMAN propust i da bi trebalo da se sankcioniše uvođenjem pravila, na primer, da u rezultate mogu ući samo studenti koji prethodno ulogovani korisničkim imenom ili slično. Siguran sam da još mnogo studenata ovo misli, pa bismo stvarno voleli da porazmislite o ovoj ideji. Hvala :)","241.37","","","","","","","","","","","","","","","","","",""
"6","","1","sr-Latn","2019-07-29 01:16:50","2019-07-29 01:16:50","87.116.182.106","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"7","2019-07-29 07:49:46","1","sr-Latn","2019-07-29 07:45:11","2019-07-29 07:49:46","109.245.227.101","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","53","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","274.96","","","","","","","","","","","","","","","","","",""
"8","","1","sr-Latn","2019-07-29 09:50:21","2019-07-29 09:50:21","178.220.212.69","","","","","","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"9","2019-07-29 11:14:15","1","sr-Latn","2019-07-29 11:11:23","2019-07-29 11:14:15","5.43.110.88","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","27","Uglavnom se slažem","Uglavnom se slažem","Nedolučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Nedolučan/na sam","Nedolučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Nedolučan/na sam","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","172.32","","","","","","","","","","","","","","","","","",""
"10","2019-07-29 11:55:38","1","sr-Latn","2019-07-29 11:47:36","2019-07-29 11:55:38","87.116.181.92","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","21","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Nedolučan/na sam","Potpuno se slažem","Nedolučan/na sam","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","","","","","","","","","","","","","","Nekoliko puta se dešavalo da sajt padne ili bude preopterećen u toku ispitnog roka, pa nije moguće pristupiti istom. Osim toga, drugih problema nisam imala. ","Koliko se sećam, ranije je i na našem sajtu bio raspored ispita, ali ove godine ga nije bilo. Mislim da je to bilo prilično korisno.","","","","","481.3","","","","","","","","","","","","","","","","","",""
"11","","1","sr-Latn","2019-07-29 13:00:15","2019-07-29 13:00:15","66.249.79.169","","","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"12","","1","sr-Latn","2019-07-29 13:53:21","2019-07-29 13:53:21","37.35.13.223","","","","","","69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"13","2019-07-29 15:29:38","1","sr-Latn","2019-07-29 15:26:00","2019-07-29 15:29:38","178.222.18.169","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","36","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","","","","","","","","","","","","","","","Više informacija o izbornim predmetima.","","","","","218.5","","","","","","","","","","","","","","","","","",""
"14","2019-07-29 15:27:48","1","sr-Latn","2019-07-29 15:26:22","2019-07-29 15:27:48","87.116.181.217","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","73","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Nedolučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Nedolučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","85.97","","","","","","","","","","","","","","","","","",""
"15","","1","sr-Latn","2019-07-29 18:17:57","2019-07-29 18:17:57","46.4.63.236","","","","","","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"16","","1","sr-Latn","2019-07-29 20:49:59","2019-07-29 20:49:59","46.4.63.236","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"17","2019-07-30 12:41:02","1","sr-Latn","2019-07-30 12:37:58","2019-07-30 12:41:02","109.245.111.101","Ženski","Drugo","Barem jednom nedeljno","Manje od 5 minuta","Veoma negativan","2","Nedolučan/na sam","Uglavnom se slažem","Nedolučan/na sam","Uglavnom se ne slažem","Nedolučan/na sam","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","184.92","","","","","","","","","","","","","","","","","",""
